Title,Female employment rate,Male employment rate,Employment rate,Avg  weekly hours male,Avg  weekly hours total,Avg  weekly hours female
2018 JAN,71,79.8,75.4,36.4,32,27
2018 FEB,71.2,80,75.6,36.3,31.9,27
2018 MAR,71.3,80,75.6,36.1,31.8,26.9
2018 APR,71.2,80.1,75.6,36.1,31.9,27.1
2018 MAY,71,80.1,75.5,36.2,31.9,27.1
2018 JUN,71,80.1,75.5,36.2,31.9,27.2
2018 JUL,71,80.1,75.6,36.4,32.1,27.3
2018 AUG,71.1,80.1,75.6,36.4,32.2,27.4
2018 SEP,71.2,80.3,75.7,36.5,32.2,27.3
2018 OCT,71.3,80.3,75.8,36.3,32,27.1
2018 NOV,71.4,80.3,75.8,36.2,32,27.1
2018 DEC,71.8,80.5,76.1,36.4,32,27.2
2019 JAN,71.8,80.5,76.1,36.5,32.2,27.3
2019 FEB,71.8,80.3,76.1,36.5,32.2,27.4
2019 MAR,72,80.3,76.1,36.4,32.2,27.5
2019 APR,72,80.2,76,36.2,32.1,27.5
2019 MAY,72.1,80.1,76.1,36.3,32.1,27.4
2019 JUN,72.1,80.2,76.1,36.3,32,27.3
2019 JUL,71.6,80.2,75.9,36.3,32.1,27.4
2019 AUG,71.8,80.3,76,36.3,32.1,27.5
2019 SEP,72,80.4,76.2,36.3,32.2,27.6
2019 OCT,72.3,80.4,76.3,36.2,32,27.4
2019 NOV,72.4,80.6,76.5,36,31.9,27.4
2019 DEC,72.5,80.4,76.5,35.9,31.9,27.4
2020 JAN,72.7,80.5,76.6,35.9,31.8,27.3
2020 FEB,72.9,80.4,76.6,35.4,31.4,27
2020 MAR,72.7,80.1,76.4,33,29.1,24.8
2020 APR,72.7,80.1,76.4,29.9,26.6,23
2020 MAY,72.8,80.2,76.4,29.1,25.8,22.2
2020 JUN,72.9,80.2,76.5,29.6,26.3,22.5
